YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1881   -2.6   -7.9   -6.5    0.3    2.1    4.6    5.4    4.8    1.9   -1.7   -5.1   -9.5    -5.6    -1.4     4.9    -1.6   -0.92
1882  -15.0  -11.7  -12.6   -4.9    0.8    4.6    6.1    4.7    2.6   -3.3   -6.0   -8.1   -12.1    -5.6     5.1    -2.2   -3.68
1883  -10.2  -15.6   -6.1   -5.6    0.3    2.7    6.6    5.1    3.0   -3.1   -6.0  -14.2   -11.3    -3.8     4.8    -2.0   -3.08
1884  -14.3  -16.7  -13.5   -3.4    0.1    2.7    5.9    3.8    1.5   -3.5  999.9  999.9   -15.1    -5.6     4.1    -2.8   -4.84
1885  999.9   -9.2  999.9   -4.7    0.6    2.2    6.3    8.1    2.7   -1.4   -6.7   -6.2   999.9    -4.1     5.5    -1.8   -2.30
1886  -11.4  -12.1   -8.1   -5.9    1.2    3.2    6.5    5.8    3.1   -1.8   -4.6   -8.5    -9.9    -4.3     5.2    -1.1   -2.52
1887  -12.8  -14.4  -11.1   -4.2    0.1    4.3    7.0    6.2    2.8   -0.9   -2.9   -8.0   -11.9    -5.1     5.8    -0.3   -2.87
1888   -6.8   -9.2   -6.5   -2.3    1.9    6.9    7.1    7.2    2.7    0.7   -6.1   -9.5    -8.0    -2.3     7.1    -0.9   -1.03
1889  -10.9   -7.5   -6.9   -4.2   -0.1    2.8    7.6    6.1    3.5   -0.9   -6.1   -9.4    -9.3    -3.7     5.5    -1.2   -2.17
1890  -12.0  -11.3   -8.5   -2.9    0.2    4.5    6.7    5.8    2.3   -1.5   -6.6   -6.3   -10.9    -3.7     5.7    -1.9   -2.72
1891   -9.8  -16.2   -7.0   -6.2    1.9    6.7    6.5    7.5    2.8   -3.1   -4.3   -8.2   -10.8    -3.8     6.9    -1.5   -2.29
1892   -8.9   -8.0   -6.8   -2.9    1.5    6.4    5.7    6.0    2.4    2.6   -5.2   -3.8    -8.4    -2.7     6.0    -0.1   -1.28
1893   -6.2   -8.4   -6.6   -5.2   -0.1    4.8    6.7    7.4    5.4   -0.4   -2.2  -10.8    -6.1    -4.0     6.3     0.9   -0.72
